auc,precision,recall,accuracy,model,sampling,rep
0.9189775262096991,0.8721247563352826,0.9220939818631492,0.8522857142857143,node_basic,edge,3
0.9181224199047869,0.87279843444227,0.9192085737840066,0.8511428571428571,node_full,edge,3
0.9257888240522828,0.8820290994887927,0.9245671887881286,0.862,egoalter_basic,edge,3
0.9274548996670151,0.8731141199226305,0.9303380049464138,0.858,egoalter_full,edge,3
0.9123268449030644,0.8965378421900161,0.9052845528455284,0.86,node_nonetwork,node,4
0.9134005628517824,0.8962188254223652,0.9056910569105691,0.86,node_basic,node,4
0.9138809412132582,0.896093435360451,0.9044715447154471,0.8591428571428571,node_full,node,4
0.9231347717323327,0.8983186549239391,0.9121951219512195,0.8657142857142858,egoalter_basic,node,4
0.9235299405878674,0.9001203369434416,0.9121951219512195,0.8671428571428571,egoalter_full,node,4
0.9110538176362645,0.8755832037325039,0.9214402618657938,0.8537142857142858,node_nonetwork,deg,4
0.9120333345732282,0.8848436881677879,0.9148936170212766,0.8574285714285714,node_basic,deg,4
0.911796204681843,0.8865079365079365,0.9140752864157119,0.8582857142857143,node_full,deg,4
0.9194994389475772,0.8924558587479936,0.9099836333878887,0.8605714285714285,egoalter_basic,deg,4
0.9196985970589694,0.8909595559080096,0.9193944353518821,0.8651428571428571,egoalter_full,deg,4
0.9133030599952939,0.8792102206736353,0.9242979242979243,0.8577142857142858,node_nonetwork,edge,4
0.9144791858118799,0.8852652259332023,0.9169719169719169,0.8582857142857143,node_basic,edge,4
0.9123349219226496,0.8868369351669941,0.9185999185999186,0.8605714285714285,node_full,edge,4
0.9230457054042864,0.8966491723859508,0.9039479039479039,0.8594285714285714,egoalter_basic,edge,4
0.9218695795877004,0.8940292605773033,0.9202279202279202,0.8674285714285714,egoalter_full,edge,4
0.9168667182237513,0.8655750190403656,0.9304134261154319,0.8505714285714285,node_nonetwork,node,5
0.9174464449815297,0.8665650019062142,0.9304134261154319,0.8514285714285714,node_basic,node,5
0.9174692932639004,0.8665650019062142,0.9304134261154319,0.8514285714285714,node_full,node,5
0.9288628409864107,0.8780300115429012,0.9340974212034384,0.8634285714285714,egoalter_basic,node,5
0.9281212399569213,0.8778890600924499,0.9328694228407696,0.8625714285714285,egoalter_full,node,5
0.9121702207205745,0.8655687476062811,0.9269893355209188,0.8488571428571429,node_nonetwork,deg,5
0.9115128636513211,0.8785488958990536,0.9138638228055783,0.852,node_basic,deg,5
0.911565004194417,0.8785009861932939,0.9134536505332239,0.8517142857142858,node_full,deg,5
0.9210877984949536,0.8811491538764266,0.9183757178014766,0.8568571428571429,egoalter_basic,deg,5
0.9218532989128504,0.881242626818718,0.9191960623461854,0.8574285714285714,egoalter_full,deg,5
0.9111697287335138,0.860919540229885,0.9265979381443299,0.8453843955415833,node_nonetwork,edge,5
0.9115725009119008,0.8639167309175019,0.9241237113402062,0.8465275793083739,node_basic,edge,5
0.9116700263011385,0.8639167309175019,0.9241237113402062,0.8465275793083739,node_full,edge,5
0.9191168960817063,0.8737294761532447,0.9216494845360824,0.8533866819091169,egoalter_basic,edge,5
0.919161051277621,0.8743659773702692,0.9241237113402062,0.8553872535010003,egoalter_full,edge,5
0.917001026749193,0.8799685163321527,0.9167691676916769,0.8548571428571429,node_nonetwork,node,6
0.9177201762592555,0.8801571709233792,0.9184091840918409,0.856,node_basic,node,6
0.9178291500162881,0.880062917813606,0.9175891758917589,0.8554285714285714,node_full,node,6
0.9246133460392096,0.883921568627451,0.924149241492415,0.8625714285714285,egoalter_basic,node,6
0.9235974169355265,0.8831118060985145,0.9261992619926199,0.8631428571428571,egoalter_full,node,6
0.9161904732351622,0.8711162255466053,0.9284546197874081,0.854,node_nonetwork,deg,6
0.9138220476912312,0.8853754940711462,0.9157808667211774,0.8582857142857143,node_basic,deg,6
0.9146016964536454,0.8862559241706162,0.9174161896974653,0.86,node_full,deg,6
0.9204005765521992,0.8930993218986837,0.9153720359771055,0.8642857142857143,egoalter_basic,deg,6
0.9220580089710033,0.8906064209274673,0.9186426819296811,0.8642857142857143,egoalter_full,deg,6
0.9176512138829062,0.8630500758725341,0.9350595972050966,0.8516719062589311,node_nonetwork,edge,6
0.9182434459268238,0.8722500964878426,0.9288943690916563,0.8559588453843956,node_basic,edge,6
0.917465370233708,0.8698339127076091,0.9256062474311549,0.8519577022006287,node_full,edge,6
0.9252611643066065,0.883203125,0.929305384299219,0.8653901114604172,egoalter_basic,edge,6
0.9260033822001883,0.8781627092253795,0.9272503082614056,0.8599599885681624,egoalter_full,edge,6
0.9251427503565602,0.89270043877144,0.9138423846467946,0.8628571428571429,node_nonetwork,node,7
0.9258257608398776,0.8959839357429719,0.9109840751327072,0.8637142857142858,node_basic,node,7
0.9260542080322499,0.8943775100401606,0.9093507554103716,0.8614285714285714,node_full,node,7
0.9343525134436123,0.9022222222222223,0.911800734993875,0.8691428571428571,egoalter_basic,node,7
0.9346703192316405,0.9031476997578692,0.9138423846467946,0.8711428571428571,egoalter_full,node,7
0.9252810134084121,0.8688955672426747,0.9475624743957395,0.8637142857142858,node_nonetwork,deg,7
0.9259162118344197,0.8779739063699156,0.9373207701761573,0.8654285714285714,node_basic,deg,7
0.926082168061434,0.8782642089093702,0.936911102007374,0.8654285714285714,node_full,deg,7
0.9346797837849548,0.890015600624025,0.9348627611634576,0.874,egoalter_basic,deg,7
0.9352178842786069,0.8812070282658518,0.9451044653830397,0.8728571428571429,egoalter_full,deg,7
0.9204148130918113,0.8857479387514723,0.9226993865030675,0.8628571428571429,node_nonetwork,edge,7
0.9212405625175666,0.8891977760127086,0.9157464212678936,0.8614285714285714,node_basic,edge,7
0.9212863082604018,0.8894632206759443,0.9149284253578732,0.8611428571428571,node_full,edge,7
0.929258473138914,0.897508038585209,0.9132924335378323,0.8665714285714285,egoalter_basic,edge,7
0.927893466693804,0.893843725335438,0.9263803680981595,0.8717142857142857,egoalter_full,edge,7
0.9330195566025004,0.8776371308016878,0.9438943894389439,0.87,node_nonetwork,node,8
0.9353310911946213,0.8754298815437523,0.9451320132013201,0.8688571428571429,node_basic,node,8
0.935351028132553,0.8754774637127578,0.9455445544554455,0.8691428571428571,node_full,node,8
0.9429769068914327,0.8768472906403941,0.9546204620462047,0.8757142857142857,egoalter_basic,node,8
0.9428845068521722,0.8786959818043972,0.9562706270627063,0.8782857142857143,egoalter_full,node,8
0.92880894591644525,0.8708206686930091,0.9447650453421269,0.8645714285714285,node_nonetwork,deg,8
0.9299292579918665,0.8895049504950495,0.9258037922506183,0.8688571428571429,node_basic,deg,8
0.929385413452342,0.8885804916732751,0.9237427864798021,0.8668571428571429,node_full,deg,8
0.9381709782753872,0.8960885025681549,0.9348722176422094,0.8797142857142857,egoalter_basic,deg,8
0.9372072565825531,0.8967844382691544,0.9311624072547403,0.878,egoalter_full,deg,8
0.9297553584272357,0.8844201483795392,0.934020618556701,0.8697142857142857,node_nonetwork,edge,8
0.9314113641812515,0.9038304808475958,0.914639175257732,0.8734285714285714,node_basic,edge,8
0.9314117477823064,0.9038304808475958,0.914639175257732,0.8734285714285714,node_full,edge,8
0.9374477103812036,0.9129363449691992,0.9167010309278351,0.8817142857142857,egoalter_basic,edge,8
0.9365500839127308,0.9139784946236559,0.911340206185567,0.8791428571428571,egoalter_full,edge,8
0.9136808400682416,0.8911646586345382,0.9049755301794453,0.856,node_nonetwork,node,9
0.9140252387831089,0.8920660491341119,0.9033442088091354,0.8557142857142858,node_basic,node,9
0.9141991893204487,0.8911646586345382,0.9049755301794453,0.856,node_full,node,9
0.9242871530328879,0.9020242914979757,0.9086460032626428,0.8668571428571429,egoalter_basic,node,9
0.9243560327758614,0.8980329185066238,0.9123164763458401,0.866,egoalter_full,node,9
0.9126789218802903,0.8699029126213592,0.9248554913294798,0.8522857142857143,node_nonetwork,deg,9
0.9130324376578948,0.8730904817861339,0.9203137902559868,0.8522857142857143,node_basic,deg,9
